lag,s2x_PG,s2x_mPG,s2x_PGAS,s2x_mPGAS,s2y_PG,s2y_mPG,s2y_PGAS,s2y_mPGAS
14,0.550223464969644,0.09515460576641128,0.2985768627178631,0.0011634708128224105,0.18332171609437184,-0.0031398366840258746,0.1098928143440897,-0.011741122853395394
15,0.5343386667353451,0.07997768019437611,0.2819774943102604,-0.003995620298561687,0.16697163325147918,0.006144647011416445,0.11182207415096997,-0.021379508661868777
16,0.5243249420970517,0.06268133119665086,0.27017338092232324,-0.0035596581093680305,0.1622388403432138,0.013321886223375143,0.09326981546411751,0.0028955412751163457
17,0.5112048710804006,0.05425480139891222,0.2552599201370868,0.007553836872698641,0.1526630773307585,0.006113812369110657,0.08367449224417157,-0.003453880092046897
18,0.49792697891488796,0.04747432041998195,0.23807307492703814,0.014289256756758502,0.1389553985094553,0.0026101213203904372,0.08976431327357595,0.001557635851387676
19,0.48716905758952145,0.04798526307685557,0.22990105223075338,0.02295783980444783,0.13409520035257072,0.012966497325180088,0.07523891515526651,0.005897419889027869
20,0.478186498167626,0.05289992394512052,0.220045509156162,0.02779917929852706,0.13046502619082412,0.019776246949158856,0.07725321552912855,0.007417452817438949
21,0.46987095691680597,0.05858556072999879,0.20880873167759348,0.02768988891294845,0.12813420559252114,0.019038459019320858,0.059053576176350424,-0.00033242111983478295
22,0.4564337105480548,0.05852390551708877,0.19648791485226763,0.0242944157979451,0.11742076659932531,0.026666337826822446,0.05712752864122639,0.0063184059418042275
23,0.44485937416877924,0.059916739404434656,0.19044012543562858,0.017674337524667027,0.11699923169450123,0.039364801316439296,0.0481697394714317,0.02607791553713186
24,0.43469072635597494,0.06402343719435472,0.17803744112665532,0.020469484024096443,0.11013468588077097,0.03411681056500725,0.05571966565681225,-0.0009808774532660946
25,0.42483131493489573,0.06919005892463308,0.17054281461789314,0.015675839188592458,0.11440050878064421,0.014660310742016971,0.04531219711856919,-0.004964233654668406
26,0.41510228537452637,0.07426751975929165,0.16441082875097668,-0.0005344725284596219,0.10835720197736064,0.010880218499330461,0.04979641664372538,0.007973645620788774
27,0.4067461059064026,0.07619476508711653,0.1633452978008353,-0.012481462851236398,0.10617543711665477,0.011120389512720435,0.032915007394731424,-0.005314501313670638
28,0.3952914958560359,0.07586518073833476,0.15892373647303765,-0.019438380871994815,0.10699825800530073,0.022575843166859535,0.037454122002606616,0.007281308054041265
29,0.38281909283942844,0.07132854233349745,0.14682618066574535,-0.01816437159592202,0.10312247338584407,0.015085978781404915,0.051887005471053654,-0.0016053815275373245
30,0.378932949092199,0.06451900072561538,0.1397692258133077,-0.011980109316616902,0.09898598374933303,0.014200935291939954,0.03455349327420076,-0.002930430225941488
31,0.36588807135550133,0.057402297593642834,0.13940750672201788,-0.00541585823148607,0.09449831316530251,0.021155245323649506,0.02736425613513754,-0.006392049013899779
32,0.35622768603568433,0.05006158285459942,0.13851520608336085,0.0012628213295890042,0.10251010227948491,0.03570592067258915,0.032356039439443825,0.005235734051964772
33,0.3503646821408134,0.047017920036008215,0.13778454906254145,-6.465423179988272e-05,0.08822929237749294,0.027455753058253707,0.04410818261753785,-0.004109913388779358
34,0.33820542002290094,0.04412321807943195,0.13055384560223926,0.005763855204610338,0.08058315812892115,0.01834589312399489,0.04964805515475671,0.02333934306567329
35,0.33055612509407256,0.04138468298682837,0.12732895408180536,0.016974725027221516,0.08026047866402955,0.014412237215045774,0.03674843704186357,0.0135218862822829
36,0.32020103125740307,0.03623448652060109,0.12206660765574445,0.01815946186461368,0.07225212016051676,0.013458080489574979,0.03698814429519452,0.02443319763805842
37,0.3151210282384723,0.034841369197835176,0.11505429570236263,0.010806215701130582,0.07924713369316173,0.0034696710983251194,0.03463778187625863,0.013218689413652984
38,0.30524801880615204,0.031117231698106037,0.11294051012542293,-0.0011936020625592041,0.07561801992465991,0.008643416616751833,0.03640006101022426,-0.01885461583365456
39,0.29692474067843405,0.02407568716799296,0.10446832538486402,-0.0029729702911359857,0.0797010575441313,0.0024864399763516584,0.030993550148529454,0.0037451110630806945
40,0.29594575398599765,0.02238670986237351,0.10120385695899473,0.0013436291013442815,0.07969613349755361,-0.00522635493801451,0.03330822058560029,0.01077158019532388
41,0.2887002054065567,0.023112388677480184,0.09665790081898595,0.006038754555096105,0.06960897321055348,-0.007770714864168313,0.03522253899246627,0.015196795158573617
42,0.2829613309656442,0.026196059457635125,0.09364477111572274,0.005827676587865937,0.06208159230683291,0.0007944048942222891,0.04908066597602221,-0.0058609676895856845
43,0.27236041388129195,0.03094922949114881,0.09101407593420685,-0.0004229399407529325,0.057923676828586006,0.0013062671451179331,0.054361715355285126,0.0033422937118217796
44,0.2607635578654958,0.031571171228495044,0.09556415482159739,0.006853688974580207,0.0670344065773327,0.001103288532166302,0.03527873011580071,-0.009360171953019983
45,0.25589756665911506,0.028987143096595874,0.10329749143739933,0.0017090945191780978,0.07229365886592308,0.004021067598266505,0.034865821246919025,0.0205106601256769
46,0.24845020723375907,0.02881189796452878,0.10352660538595358,-0.001645647581330183,0.05590036667103171,0.0056376280052457374,0.0508300817913428,-0.004647207695650031
47,0.2413697652850189,0.0330367990338657,0.1033760325513309,-0.01054579949599513,0.05022050685690938,0.004863303715932796,0.024966190279292637,0.004390641156066793
48,0.22734094479913278,0.032233022333962885,0.0996008655992236,-0.017292806705554237,0.04549205836673729,0.0006836775542838655,0.04621285325118312,0.002899423784751825
49,0.22045131712098778,0.033626551921864895,0.09316876004462202,-0.01884720566730099,0.05315028826571073,0.007879821020551953,0.039353743481803614,-0.02013694805824244
50,0.21920532891280947,0.031627977512577315,0.08999191927474492,-0.009213935031500163,0.05521855043051436,-0.006146985453594303,0.04039995383326943,-0.007936946654936713
51,0.2160281362774056,0.026482503710745817,0.08704113507020647,0.004325655513768448,0.04976028243984424,-0.007107739865114482,0.020001078185940893,-0.01894340515316447
52,0.21369692111692734,0.025110385079161905,0.08126664653067668,0.000518396039210485,0.04567963925459372,-0.011261442976483514,0.026266635539856645,0.0019482231224498578
53,0.21282444887164956,0.025532688565595034,0.07934443478700551,0.00495177980515549,0.04272288186066796,-0.014933669133517156,0.026675410639896768,0.002013417941493995
