sx_pg,sy_pg,sx_pgas,sy_pgas
3.24463,3.43542,3.59152,3.1129
3.10858,3.48671,3.40677,3.1246
3.19567,3.49758,3.80982,3.08013
3.45277,3.4569,3.9649,3.10515
3.32044,3.48295,3.7914,3.15062
3.32705,3.54886,3.49659,3.33829
3.43606,3.47377,3.47319,3.09862
3.34764,3.47462,3.65346,3.22646
3.35124,3.5288,3.35417,3.29366
3.56788,3.52084,3.13554,3.14803
3.3733,3.44498,2.86769,3.08248
3.22951,3.47678,3.20984,3.15478
3.36616,3.4909,3.34486,3.2422
3.16273,3.55761,3.31096,3.29993
3.11028,3.62132,3.19916,3.23559
3.34121,3.56996,3.64404,3.18605
3.43427,3.4746,3.45175,3.20605
3.54685,3.50974,3.48805,3.22575
3.52343,3.56852,3.40762,3.51755
3.15062,3.51305,3.20039,3.47458
3.34084,3.52537,3.26517,3.14914
3.04785,3.51132,3.36641,3.16722
3.66522,3.48727,3.08347,3.19298
3.45565,3.50308,3.02997,3.35582
3.62777,3.44198,2.76317,3.39997
3.45486,3.43028,3.11824,3.12873
3.4165,3.43313,3.12144,3.11271
3.26943,3.5917,3.51499,2.99005
3.17164,3.53582,3.25067,3.05355
3.13467,3.55562,3.27417,3.01787
3.31289,3.59861,3.13743,3.05375
3.12468,3.36198,3.07226,3.23878
3.3714,3.36176,3.1811,3.11522
3.00858,3.36079,3.17147,3.10268
3.0973,3.26133,3.03812,3.17441
3.22474,3.2469,3.31487,3.14919
3.5163,3.25738,3.31648,2.96908
3.40608,3.18947,2.83945,3.13765
2.94283,3.20703,2.82911,3.03824
2.90391,3.32795,3.15843,3.01976
3.36124,3.2789,2.89015,2.93498
3.22951,3.23871,3.01757,3.02959
3.08849,3.24879,3.06374,3.04962
2.9794,3.12455,3.03954,3.19805
2.89477,3.08314,3.24847,3.38289
2.98177,3.17406,3.28699,3.30664
3.27464,3.17002,3.29144,3.33199
3.29935,3.17711,3.03566,3.33024
2.86525,3.19907,3.09911,3.36981
2.94513,3.1847,2.59085,3.53104
3.02602,3.1268,2.57078,3.3738
2.93809,3.06827,3.09559,3.21464
3.04307,3.09259,3.196,3.20496
3.13929,3.10953,3.07768,3.18633
3.27621,3.10584,3.13356,3.1927
3.15601,3.16187,3.41527,3.21936
3.02713,3.21911,3.23831,3.54891
2.98469,3.11157,3.25778,3.35075
2.86325,3.12178,3.76827,3.29533
3.09712,3.14547,3.27993,3.14362
3.43421,3.09011,3.35856,3.20225
3.10845,3.16719,3.33591,3.15687
2.89304,3.20683,3.19772,3.27506
2.97195,3.20541,3.44922,3.09604
2.8772,3.11764,3.27073,3.1561
3.11564,3.24453,3.00245,3.07873
3.00857,3.24545,3.15714,3.14733
2.94892,3.23019,3.64727,3.2913
2.86144,3.12201,3.5099,3.36275
2.94931,3.12029,3.44213,3.27425
3.01944,3.13652,3.55596,3.1432
3.06017,3.26572,3.35244,3.21035
3.05833,3.29075,3.18055,3.21813
3.00264,3.31139,3.06521,3.16173
2.93761,3.28454,3.09,3.35242
2.89902,3.31048,3.3324,3.26473
2.84637,3.32618,3.23149,3.33271
2.87694,3.33671,3.41047,3.22592
2.99454,3.31867,3.10167,3.39016
2.9837,3.30893,2.8228,3.39404
2.90304,3.31531,3.11461,3.44933
3.16843,3.41639,3.21452,3.61212
3.10129,3.29028,3.43545,3.47963
2.86119,3.2258,3.38649,3.30636
2.86618,3.2441,3.03245,3.3019
3.17046,3.2481,3.15882,3.44723
3.21731,3.24843,3.03522,3.29618
3.04096,3.21801,3.04286,3.18327
2.83133,3.28378,3.67997,3.18326
3.2664,3.22924,3.54138,3.12772
3.36089,3.24988,3.54701,3.07369
3.02162,3.30525,3.46043,2.99286
3.43962,3.37378,3.43653,2.98511
3.0521,3.35629,3.15245,3.05561
3.16779,3.46708,3.47664,3.01114
2.90494,3.46869,3.50561,3.07053
3.22089,3.44564,3.38931,3.35076
2.87909,3.43804,4.23532,3.28397
2.92296,3.45773,3.73414,3.43458
3.17113,3.39213,3.49388,3.19461
3.46895,3.34249,3.50016,3.22117
3.28122,3.34783,3.9673,2.85191
3.02461,3.09451,3.95329,2.99713
